artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
ValueSetDrugSubGroupMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-sub-group-my-core.json; ValueSets/value-set-drug-sub-group-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugTradeNameMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-trade-name-my-core.json; ValueSets/value-set-drug-trade-name-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-type-my-core.json; ValueSets/value-set-drug-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetEducationLevelMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-education-level-my-core.json; ValueSets/value-set-education-level-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetEncounterCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-category-my-core.json; ValueSets/value-set-encounter-category-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetEncounterClassFrontMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-class-front-my-core.json; ValueSets/value-set-encounter-class-front-my-core.csv,HL7 Terminology,mixed,active,Verified against terminology extract.
ValueSetEncounterClassMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-class-my-core.json; ValueSets/value-set-encounter-class-my-core.csv,HL7 Terminology,mixed,active,Verified against terminology extract.
ValueSetEncounterOutcomeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-outcome-my-core.json; ValueSets/value-set-encounter-outcome-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetEncounterOutcomeReasonMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-outcome-reason-my-core.json; ValueSets/value-set-encounter-outcome-reason-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetEncounterPriorityMyCore,ValueSet,MY Core IG.zip,generated\\ValueSet-encounter-priority-my-core.json,HL7 Core,mixed,active,Legacy JSON only.
ValueSetEncounterRatingMyCore,ValueSet,MY Core IG.zip,generated\\ValueSet-encounter-rating-my-core.json,None,local,active,Legacy JSON only.
ValueSetEncounterStatusMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-encounter-status-my-core.json; ValueSets/value-set-encounter-status-my-core.csv,HL7 Core,mixed,active,Verified against terminology extract.
ValueSetEthnicMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-ethnic-my-core.json; ValueSets/value-set-ethnic-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetExternalReferralSourceTypeMyCore,ValueSet,MY Core IG.zip,generated\\ValueSet-external-referral-source-type-my-core.json,None,local,active,Legacy JSON only.
ValueSetFlagCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-flag-category-my-core.json; ValueSets/value-set-flag-category-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetForeignerTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-foreigner-type-my-core.json; ValueSets/value-set-foreigner-type-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetGlucoseLevelMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Observation\ValueSet-glucose-level-my-core.json; ValueSets/value-set-glucose-level-my-core.csv,SNOMED CT,mixed,active,Verified against terminology extract.
ValueSetHealthProgramPhysiotherapyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-health-program-physiotherapy-my-core.json; ValueSets/value-set-health-program-physiotherapy-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetHospitalPhysiotherapyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Procedure\ValueSet-hospital-physiotherapy-my-core.json; ValueSets/value-set-hospital-physiotherapy-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetImagingModalityMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Imaging\ValueSet-imaging-modality-my-core.json; ValueSets/value-set-imaging-modality-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetImagingMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Imaging\ValueSet-imaging-my-core.json; ValueSets/value-set-imaging-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetImagingRegionMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Imaging\ValueSet-imaging-region-my-core.json; ValueSets/value-set-imaging-region-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetImmunizationRecommendationStatusMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Immunization\ValueSet-immunization-recommendation-status-my-core.json; ValueSets/value-set-immunization-recommendation-status-my-core.csv,HL7 Core,mixed,active,Verified against terminology extract.
ValueSetInternalReferralSourceTypeMyCore,ValueSet,MY Core IG.zip,generated\\ValueSet-internal-referral-source-type-my-core.json,None,local,active,Legacy JSON only.
ValueSetLabComponentMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-lab-component-my-core.json; ValueSets/value-set-lab-component-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetLabMethod,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-lab-method-my-core.json; ValueSets/value-set-lab-method-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetLabMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-lab-my-core.json; ValueSets/value-set-lab-my-core.csv,LOINC,mixed,active,Verified against terminology extract.
ValueSetLabSubGroupMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Lab\ValueSet-lab-sub-group-my-core.json; ValueSets/value-set-lab-sub-group-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetLocationTypeFrontMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Location\ValueSet-location-type-front-my-core.json; ValueSets/value-set-location-type-front-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetLocationTypeMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Location\ValueSet-location-type-my-core.json; ValueSets/value-set-location-type-my-core.csv,HL7 Terminology,mixed,active,Verified against terminology extract.
